dag,waarde,verandering,%verandering,winst,rendement,aantal,gak,kosten
27/12/2021,39925.91,-1031.06,-2.52,-11059.0,-21.69,269.2058,189.39,50984.9
23/12/2021,40956.97,-500.72,-1.21,-10027.94,-19.67,269.2058,189.39,50984.91
