dag,waarde,verandering,%verandering,winst,rendement,aantal,gak,kosten
22/12/2021,16509.69,-442.0,-2.61,-2184.22,-11.68,107.2058,174.35,18693.9
21/12/2021,16951.38,1450.49,9.36,-1742.52,-9.32,107.2058,174.37,18693.9
