dag,waarde,verandering,%verandering,winst,rendement,aantal,gak,kosten
22/12/2021,12474.0,-334.0,-2.61,-4958.67,-28.44,81.0,215.21,17432.67
21/12/2021,12807.72,1095.93,9.36,-4624.95,-26.53,81.0,215.22,17432.67
