dag,waarde,verandering,%verandering,winst,rendement,aantal,gak,kosten
27/12/2021,4300.99,-111.07,-2.52,-763.48,-15.08,29.0,174.64,5064.47
23/12/2021,4412.06,-53.94,-1.21,-652.41,-12.88,29.0,174.63,5064.47
22/12/2021,4466.0,-119.0,-2.6,-598.47,-11.82,29.0,174.64,5064.47
21/12/2021,4585.48,392.37,9.36,-478.99,-9.46,29.0,174.64,5064.47
