dag,waarde,verandering,%verandering,winst,rendement,aantal,gak,kosten
22/12/2021,770.0,-21.0,-2.66,-574.86,-42.74,5.0,268.97,1344.86
21/12/2021,790.6,.67.65,9.36,-554.26,-41.21,5.0,268.97,1344.86
